Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff
David Simon,2005,80.0,258.8,87.5,7.5
Chris Taft,2005,80.5,261.0,85.75,5.25
Chris Thomas,2005,71.75,176.2,75.0,3.25
Omar Thomas,2005,75.25,200.0,80.0,4.75
Dijon Thompson,2005,78.25,195.8,81.75,3.5
Ronny Turiaf,2005,80.0,237.8,85.5,5.5
Charlie Villanueva,2005,81.0,236.6,84.25,3.25
Hakim Warrick,2005,79.25,215.0,86.0,6.75
Martell Webster,2005,78.0,229.6,83.0,5.0
Robert Whaley,2005,80.0,269.4,86.0,6.0
Marvin Williams,2005,79.0,228.2,87.5,8.5
Deron Williams,2005,73.75,202.4,78.25,4.5
Jawad Williams,2005,79.0,218.0,85.25,6.25
Antoine Wright,2005,77.25,202.6,80.75,3.5
Bracey Wright,2005,73.25,186.8,82.0,8.75
Kenny Adeleke,2006,78.5,250.0,82.25,3.75
Maurice Ager,2006,75.25,203.0,79.75,4.5
LaMarcus Aldridge,2006,82.0,234.0,88.75,6.75
Morris Almond,2006,76.75,214.0,82.0,5.25
Lou Amundson,2006,79.2,221.0,83.5,4.299999999999997
Rashad Anderson,2006,75.25,224.0,79.0,3.75
Hilton Armstrong,2006,81.5,240.0,88.0,6.5
James Augustine,2006,80.25,227.0,84.25,4.0
Renaldo Balkman,2006,77.25,206.0,85.0,7.75
J.P. Batista,2006,79.5,265.0,82.0,2.5
Will Blalock,2006,71.25,194.0,78.0,6.75
Brandon Bowman,2006,78.75,209.0,83.5,4.75
Ronnie Brewer,2006,77.75,223.0,83.25,5.5
Denham Brown,2006,76.0,218.0,81.5,5.5
Brad Buckman,2006,79.25,238.0,84.0,4.75
Nik Caner-Medley,2006,78.5,234.0,81.0,2.5
Rodney Carney,2006,76.5,204.0,82.0,5.5
Keydren Clark,2006,69.0,184.0,74.5,5.5
Mardy Collins,2006,76.25,224.0,82.0,5.75
Taquan Dean,2006,74.0,183.0,78.75,4.75
Terence Dials,2006,79.75,253.0,84.0,4.25
Sean Dockery,2006,72.75,182.0,76.5,3.75
Jordan Farmar,2006,72.75,171.0,75.0,2.25
Randy Foye,2006,74.25,212.0,78.25,4.0
Torin Francis,2006,81.0,247.0,85.0,4.0
Rudy Gay,2006,79.0,222.0,87.0,8.0
Nick George,2006,76.0,201.0,82.0,6.0
Taj Gray,2006,79.25,231.0,84.75,5.5
Dan Grunfeld,2006,76.75,216.0,78.25,1.5
Matt Haryasz,2006,81.75,219.0,84.25,2.5
Eric Hicks,2006,76.75,238.0,85.5,8.75
Tedric Hill,2006,79.75,236.0,85.0,5.25
Daniel Horton,2006,72.5,198.0,79.0,6.5
Bobby Jones,2006,77.75,211.0,81.5,3.75
Solomon Jones,2006,80.5,224.0,88.75,8.25
Viktor Keyru,2006,77.25,202.0,81.25,4.0
Marco Killingsworth,2006,77.5,266.0,87.0,9.5
Tarence Kinsey,2006,76.75,179.0,78.75,2.0
Carl Krauser,2006,71.75,190.0,78.25,6.5
Chris McCray,2006,75.0,187.0,77.75,2.75
Gerry McNamara,2006,71.75,177.0,72.75,1.0
Pops Mensah-Bonsu,2006,79.5,232.0,84.0,4.5
Paul Miller,2006,80.5,251.0,84.0,3.5
Paul Millsap,2006,78.25,258.0,85.5,7.25
Dwayne Mitchell,2006,74.0,208.0,78.5,4.5
Adam Morrison,2006,78.5,198.0,82.0,3.5
Yemi Nicholson,2006,79.75,258.0,88.25,8.5
David Noel,2006,76.5,223.0,81.5,5.0
Steve Novak,2006,80.0,216.0,81.5,1.5
Patrick O'Bryant,2006,83.0,249.0,89.75,6.75
Danilo Pinnock,2006,74.75,204.0,79.5,4.75
Chris Quinn,2006,72.5,175.0,77.0,4.5
Allan Ray,2006,73.0,204.0,80.5,7.5
JJ Redick,2006,76.0,190.0,75.25,-0.75
Antywane Robinson,2006,78.25,217.0,86.5,8.25
