Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Derrick Favors,2010,80.75,245.2,88.0,GT,36,27.5,12.4,5.0,8.1,0.611,0.0,0.0,0.0,2.5,4.0,0.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6
Keith Gallon,2010,80.5,301.8,88.5,OKLA,30,23.7,10.3,4.1,7.4,0.547,0.1,0.6,0.235,2.1,3.0,0.697,2.8,5.2,7.9,0.8,0.7,0.8,2.3,2.8
Charles Garcia,2010,80.25,231.6,85.75,SEA,31,26.0,18.7,6.1,12.9,0.474,0.4,1.5,0.277,6.0,9.8,0.615,2.6,5.7,8.3,1.0,0.5,0.8,4.0,3.2
Paul George,2010,79.75,214.4,83.25,FRSNO,29,33.2,16.8,5.3,12.5,0.424,2.0,5.8,0.353,4.1,4.6,0.909,1.9,5.3,7.2,3.0,2.2,0.8,3.2,2.9
Luke Harangody,2010,78.0,240.2,81.5,ND,30,33.0,21.8,8.1,16.9,0.481,0.8,2.7,0.309,4.7,5.9,0.787,2.2,6.9,9.1,1.6,0.5,0.7,1.8,2.3
Manny Harris,2010,76.0,185.1,79.25,MICH,31,36.1,18.1,5.8,13.9,0.421,1.5,5.0,0.308,4.9,6.1,0.8,1.8,4.2,6.0,4.1,1.8,0.4,2.8,1.5
Lazar Hayward,2010,76.5,225.8,84.75,MARQ,34,32.3,18.1,6.5,15.1,0.432,1.9,5.5,0.349,3.1,3.7,0.843,2.1,5.4,7.5,1.5,1.9,0.5,2.0,3.4
Gordon Hayward,2010,78.75,211.0,79.75,BTLR,37,33.5,15.5,4.7,10.1,0.464,1.3,4.3,0.294,4.8,5.8,0.829,1.9,6.3,8.2,1.7,1.1,0.8,2.3,2.1
Xavier Henry,2010,77.25,210.2,83.25,KU,36,27.5,13.4,4.5,9.8,0.458,1.9,4.6,0.418,2.5,3.2,0.783,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8
Darington Hobson,2010,77.25,203.6,81.25,UNM,35,33.6,15.9,5.5,12.5,0.44,1.1,3.1,0.361,3.7,5.7,0.653,2.1,7.1,9.3,4.6,1.3,0.4,3.0,1.9
