Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Jerami Grant,2014,78.5,214.0,86.75,SYRA,32,31.4,12.1,4.2,8.4,0.496,0.0,0.2,0.0,3.8,5.6,0.674,2.4,4.3,6.8,1.4,0.8,0.6,1.2,2.3
Gary Harris,2014,74.5,204.8,78.75,MCHST,35,32.3,16.7,5.6,13.0,0.429,2.3,6.6,0.352,3.3,4.1,0.81,1.1,2.9,4.0,2.7,1.8,0.4,1.7,2.1
Joe Harris,2014,76.75,215.0,78.0,UVA,37,28.8,12.0,4.0,9.1,0.441,1.9,4.9,0.4,2.0,3.1,0.64,0.6,2.4,2.9,2.3,0.9,0.2,1.3,2.4
Rodney Hood,2014,79.25,208.2,80.5,DUKE,35,32.9,16.1,5.5,11.8,0.464,2.0,4.8,0.42,3.1,3.9,0.807,0.8,3.1,3.9,2.1,0.7,0.3,1.5,2.6
Cory Jefferson,2014,79.75,218.4,84.5,BAYL,38,29.0,13.7,4.8,9.7,0.5,0.4,1.0,0.368,3.6,5.6,0.64,2.8,5.4,8.2,1.0,0.4,1.3,1.3,2.2
Nick Johnson,2014,73.5,198.0,79.25,ARZ,38,33.0,16.3,5.4,12.4,0.433,1.6,4.4,0.367,3.8,4.9,0.781,0.8,3.2,4.1,2.8,1.1,0.7,1.7,2.0
Sean Kilpatrick,2014,74.5,218.7,79.0,CINCY,34,33.8,20.6,6.3,14.9,0.423,2.7,7.9,0.348,5.3,6.3,0.845,1.1,3.2,4.3,2.5,1.4,0.0,2.1,1.4
Alex Kirk,2014,81.25,252.0,87.5,UNM,32,32.0,13.3,5.2,10.5,0.49,0.4,1.8,0.214,2.6,3.8,0.667,2.3,6.4,8.7,1.1,0.4,2.7,1.8,2.6
Devyn Marble,2014,77.0,192.4,81.0,IOWA,33,30.2,17.0,5.5,13.2,0.42,1.6,4.5,0.349,4.3,6.0,0.714,0.8,2.4,3.2,3.6,1.8,0.2,1.7,1.9
James McAdoo,2014,79.5,227.6,86.25,UNC,34,30.1,14.2,5.1,11.1,0.458,0.0,0.2,0.0,4.1,7.6,0.537,2.6,4.1,6.8,1.7,1.3,0.9,1.4,2.7
K.J. McDaniels,2014,76.5,195.6,83.25,CLEM,36,33.7,17.1,5.8,12.6,0.459,1.2,3.8,0.304,4.3,5.1,0.842,2.4,4.7,7.1,1.6,1.1,2.8,2.3,2.2
Doug McDermott,2014,78.25,218.0,81.25,CREI,35,33.7,26.7,9.4,17.9,0.526,2.7,6.1,0.449,5.1,5.9,0.864,1.6,5.3,7.0,1.6,0.2,0.1,1.8,1.9
Jordan McRae,2014,75.75,179.4,84.5,TENN,37,32.2,18.7,6.0,13.8,0.436,2.1,6.1,0.351,4.5,5.7,0.788,0.7,2.8,3.5,2.5,0.7,1.0,2.1,2.1
Shabazz Napier,2014,71.0,175.2,75.25,UConn,40,35.1,18.0,5.3,12.4,0.429,2.2,5.4,0.405,5.2,6.0,0.87,1.0,4.9,5.9,4.9,1.8,0.3,2.9,2.1
Lamar Patterson,2014,76.0,226.0,83.0,PITT,36,32.6,17.1,5.6,12.7,0.441,2.2,5.7,0.388,3.7,4.9,0.754,1.0,3.9,4.9,4.3,1.4,0.3,2.6,2.0
Adreian Payne,2014,81.0,238.5,88.0,MCHST,31,28.1,16.4,5.7,11.4,0.503,1.4,3.4,0.423,3.5,4.5,0.79,1.5,5.7,7.3,1.3,0.5,0.9,2.0,2.6
Elfrid Payton,2014,74.5,185.4,80.0,LA,35,35.9,19.2,6.8,13.3,0.509,0.4,1.5,0.259,5.3,8.6,0.609,2.3,3.7,6.0,5.9,2.3,0.6,3.6,2.4
Dwight Powell,2014,81.5,234.4,84.5,STAN,36,32.4,14.0,4.9,10.5,0.462,0.3,1.1,0.256,4.0,5.9,0.687,1.9,4.9,6.9,3.1,1.3,0.8,2.9,3.1
Julius Randle,2014,79.75,249.7,84.0,UK,40,30.8,15.0,4.9,9.8,0.501,0.1,0.5,0.167,5.1,7.2,0.706,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3
LaQuinton Ross,2014,78.5,238.7,85.75,OSU,35,29.0,15.2,5.3,11.8,0.447,1.2,3.4,0.353,3.5,4.8,0.732,1.8,4.1,5.9,0.8,0.7,0.6,1.7,1.5
Marcus Smart,2014,74.0,227.2,81.25,OKST,31,32.7,18.0,5.3,12.5,0.422,1.6,5.3,0.299,5.9,8.1,0.728,1.4,4.5,5.9,4.8,2.9,0.6,2.6,2.9
Russ Smith,2014,71.5,160.0,75.5,LVILL,37,29.3,18.2,6.1,13.0,0.468,1.9,4.9,0.387,4.1,5.9,0.705,0.8,2.5,3.3,4.6,2.0,0.1,2.8,2.5
Nik Stauskas,2014,77.25,206.9,79.75,MICH,36,35.6,17.5,5.1,10.9,0.47,2.6,5.8,0.442,4.7,5.7,0.824,0.4,2.5,2.9,3.3,0.6,0.3,1.9,1.3
Jarnell Stokes,2014,79.0,262.8,85.25,TENN,37,32.4,15.1,5.4,10.1,0.531,0.0,0.0,0.0,4.3,6.2,0.696,4.2,6.4,10.6,2.0,0.7,0.9,2.1,2.0
Xavier Thames,2014,74.25,187.0,76.0,SDSU,36,31.3,17.6,5.2,12.7,0.411,1.7,4.6,0.372,5.4,6.5,0.834,0.6,2.3,2.9,3.2,1.6,0.1,1.4,2.0
Noah Vonleh,2014,80.0,247.1,88.25,IU,30,26.5,11.3,3.8,7.2,0.523,0.5,1.1,0.485,3.2,4.5,0.716,2.4,6.6,9.0,0.6,0.9,1.4,2.1,2.7
T.J. Warren,2014,79.0,220.2,82.25,NCST,35,35.4,24.9,9.8,18.6,0.525,0.9,3.3,0.267,4.5,6.5,0.69,3.2,3.9,7.1,1.1,1.8,0.6,2.4,2.8
C.J. Wilcox,2014,75.5,201.0,81.75,UWASH,32,34.9,18.3,6.2,13.6,0.453,2.8,7.2,0.391,3.2,3.7,0.873,0.7,3.0,3.7,2.5,1.0,1.0,1.7,2.3
Kendall Williams,2014,74.25,183.0,77.5,UNM,34,35.3,16.0,4.4,10.3,0.43,1.9,4.8,0.389,5.3,6.6,0.792,0.7,2.8,3.6,4.9,1.6,0.1,2.0,1.8
Patric Young,2014,80.5,246.8,85.75,FLA,39,26.3,11.0,4.4,8.1,0.541,0.0,0.0,0.0,2.2,3.7,0.596,2.6,3.6,6.2,0.8,0.6,1.1,1.3,2.6
James Young,2014,77.25,213.3,84.0,UK,40,32.4,14.3,4.6,11.3,0.407,2.1,5.9,0.349,3.1,4.4,0.706,1.0,3.3,4.3,1.7,0.8,0.2,1.9,2.1
Justin Anderson,2015,77.25,230.6,83.75,UVA,26,27.8,12.2,4.0,8.5,0.466,1.8,4.0,0.452,2.5,3.2,0.78,0.7,3.4,4.0,1.7,0.7,0.5,1.2,1.2
Brandon Ashley,2015,79.25,228.0,87.75,ARZ,38,27.8,12.2,4.4,8.5,0.514,0.3,0.9,0.333,3.2,4.5,0.703,1.8,3.4,5.2,0.7,0.6,0.7,1.4,2.8
Ryan Boatright,2015,70.0,169.6,72.5,UConn,34,35.8,17.4,5.4,12.6,0.423,2.5,6.1,0.411,4.2,4.9,0.85,0.4,3.6,4.1,3.8,1.4,0.2,2.4,1.9
Devin Booker,2015,76.5,205.8,80.25,UK,38,21.5,10.0,3.6,7.6,0.47,1.5,3.7,0.411,1.4,1.7,0.828,0.4,1.6,2.0,1.1,0.4,0.1,1.0,1.5
Anthony Brown,2015,77.75,211.0,83.0,STAN,37,35.7,14.8,4.8,11.0,0.431,2.1,4.8,0.441,3.1,3.9,0.795,1.1,5.8,6.9,2.5,0.8,0.2,1.9,2.1
Rakeem Christmas,2015,80.25,242.6,89.25,SYRA,31,34.3,17.5,6.5,11.9,0.552,0.0,0.0,0.0,4.4,6.2,0.712,3.1,5.9,9.0,1.5,0.9,2.5,2.5,3.4
Pat Connaughton,2015,76.0,215.0,80.0,ND,38,35.6,12.5,4.4,9.4,0.466,2.4,5.8,0.423,1.3,1.7,0.781,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2.0
Quinn Cook,2015,72.25,179.0,76.0,DUKE,39,35.8,15.3,5.1,11.3,0.453,2.6,6.6,0.395,2.5,2.8,0.891,0.4,3.0,3.4,2.6,1.0,0.0,1.2,1.9
Branden Dawson,2015,77.5,230.2,83.0,MCHST,35,30.1,11.9,5.2,9.7,0.535,0.0,0.0,0.0,1.5,3.0,0.49,2.9,6.2,9.1,1.7,1.2,1.7,1.9,2.1
Sam Dekker,2015,79.75,218.6,83.5,UWISC,40,31.0,13.9,5.3,10.2,0.525,1.3,3.8,0.331,2.0,2.8,0.708,1.9,3.6,5.5,1.2,0.5,0.5,0.9,1.1
Michael Frazier II,2015,75.75,199.4,80.0,FLA,26,29.2,12.1,3.8,9.0,0.417,2.2,5.8,0.38,2.3,2.7,0.871,0.9,3.2,4.1,1.4,1.2,0.1,1.8,1.7
Treveon Graham,2015,76.0,219.4,82.5,VCU,33,29.4,16.2,5.2,12.2,0.428,1.9,5.1,0.381,3.8,5.5,0.691,2.2,4.9,7.1,1.6,0.6,0.3,1.2,2.0
Jerian Grant,2015,75.25,198.0,79.5,ND,38,37.1,16.5,5.4,11.2,0.478,1.3,4.2,0.316,4.5,5.7,0.78,0.3,2.7,3.0,6.7,1.7,0.5,2.2,2.0
Olivier Hanlan,2015,75.25,185.8,78.0,BOS,32,37.6,19.5,7.0,15.5,0.454,2.0,5.8,0.353,3.4,4.5,0.759,0.8,3.5,4.2,4.2,1.3,0.0,2.7,2.1
Montrezl Harrell,2015,79.0,253.4,88.25,LVILL,35,35.1,15.7,6.1,10.7,0.566,0.3,1.1,0.243,3.3,5.5,0.597,3.2,6.0,9.2,1.4,0.9,1.2,2.0,2.1
Andrew Harrison,2015,76.5,213.2,81.0,UK,39,25.5,9.3,2.6,6.8,0.378,0.9,2.4,0.383,3.2,4.1,0.792,0.3,1.9,2.2,3.6,1.0,0.2,1.6,1.8
Aaron Harrison,2015,76.5,209.2,80.25,UK,39,25.8,11.0,3.7,9.5,0.395,1.5,4.8,0.316,2.0,2.6,0.782,0.4,2.2,2.6,1.4,1.1,0.2,0.9,1.6
Tyler Harvey,2015,74.75,181.4,77.5,EWASH,32,36.9,23.1,7.2,15.3,0.469,4.0,9.3,0.431,4.7,5.5,0.852,0.6,3.0,3.6,2.6,1.1,0.1,2.0,1.9
Corey Hawkins,2015,72.75,191.8,80.0,UCD,28,33.4,20.9,6.7,13.4,0.503,2.9,5.9,0.488,4.6,5.6,0.822,0.7,4.3,4.9,3.4,1.4,0.2,3.0,1.9
Rondae Hollis-Jefferson,2015,77.5,210.8,86.0,ARZ,38,28.7,11.2,3.6,7.2,0.502,0.2,0.8,0.207,3.8,5.4,0.707,2.0,4.8,6.8,1.6,1.2,0.8,1.6,2.5
Richaun Holmes,2015,80.25,242.8,85.5,BGSU,31,28.8,14.7,5.3,9.5,0.563,0.6,1.4,0.419,3.5,4.9,0.712,2.8,5.2,8.0,0.8,0.7,2.7,1.9,2.5
Jonathan Holmes,2015,80.25,242.2,83.5,TEXAS,32,26.1,10.3,3.3,8.4,0.389,1.3,4.1,0.331,2.4,3.1,0.778,2.2,3.9,6.1,1.1,0.5,1.0,1.5,2.2
R.J. Hunter,2015,76.5,185.0,82.5,GAST,35,37.0,19.7,5.8,14.7,0.395,2.3,7.5,0.305,5.8,6.6,0.878,0.8,3.9,4.7,3.6,2.1,1.0,2.2,2.4
Vince Hunter,2015,78.75,208.4,83.0,UTEP,33,28.5,14.9,5.5,10.5,0.526,0.1,0.3,0.4,3.8,6.2,0.602,2.7,6.6,9.2,1.7,1.2,1.0,2.8,3.0
Stanley Johnson,2015,77.0,241.8,83.5,ARZ,38,28.4,13.8,4.6,10.3,0.446,1.1,3.1,0.371,3.5,4.7,0.742,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6
Tyus Jones,2015,72.5,184.6,77.0,DUKE,39,33.9,11.8,3.5,8.3,0.417,1.2,3.2,0.379,3.7,4.2,0.889,0.5,3.0,3.5,5.6,1.5,0.1,1.9,1.2
Frank Kaminsky,2015,83.75,231.2,83.0,UWISC,39,33.6,18.8,6.8,12.5,0.547,1.1,2.6,0.416,4.0,5.1,0.78,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7
Kevon Looney,2015,80.0,222.4,87.5,UCLA,36,30.9,11.6,4.2,8.9,0.47,0.6,1.5,0.415,2.6,4.1,0.626,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9
Jarell Martin,2015,80.0,238.6,81.0,LSU,33,35.1,16.9,6.1,12.0,0.509,0.4,1.6,0.269,4.2,6.2,0.69,3.0,6.3,9.2,1.8,1.2,0.7,2.8,2.8
TJ McConnell,2015,72.5,187.8,74.0,ARZ,38,30.5,10.4,4.1,8.2,0.498,0.7,2.1,0.321,1.5,1.8,0.829,0.7,3.2,3.8,6.3,2.2,0.1,2.1,1.8
Jordan Mickey,2015,79.0,238.0,87.25,LSU,31,34.9,15.4,6.2,12.2,0.504,0.0,0.3,0.111,3.1,4.7,0.646,3.2,6.7,9.9,1.3,0.9,3.6,3.3,2.6
Cameron Payne,2015,72.75,182.8,79.25,MRRY,35,32.2,20.2,7.0,15.3,0.456,2.4,6.4,0.377,3.8,4.8,0.787,0.6,3.1,3.7,6.0,1.9,0.5,2.5,2.1
Terran Petteway,2015,76.75,209.2,83.25,UNL,31,35.0,18.2,5.9,15.0,0.396,2.2,7.0,0.313,4.1,5.8,0.711,0.5,4.4,4.9,2.8,1.1,0.9,3.4,3.0
Bobby Portis,2015,81.5,246.2,86.0,ARK,36,29.9,17.5,6.9,12.9,0.536,0.4,0.8,0.467,3.2,4.3,0.737,3.7,5.2,8.9,1.2,1.1,1.4,1.6,2.2
Norman Powell,2015,75.0,215.4,82.75,UCLA,36,34.6,16.4,5.9,13.0,0.456,1.1,3.3,0.319,3.5,4.7,0.751,0.6,4.1,4.7,2.1,1.8,0.4,2.2,2.5
Michael Qualls,2015,76.0,201.4,84.25,ARK,36,30.2,15.9,5.0,11.5,0.436,1.5,4.6,0.333,4.4,5.7,0.775,1.6,3.7,5.3,1.7,0.9,0.5,1.7,1.7
Chasson Randle,2015,72.25,178.8,79.0,STAN,37,36.4,19.6,5.9,14.6,0.403,2.4,6.7,0.363,5.4,6.2,0.877,0.3,3.0,3.3,3.0,1.4,0.1,2.0,2.2
Terry Rozier,2015,72.5,190.2,80.25,LVILL,36,35.0,17.1,5.9,14.5,0.411,1.3,4.4,0.306,3.9,4.9,0.79,1.2,4.4,5.6,3.0,2.0,0.2,2.2,1.7
Keifer Sykes,2015,70.5,167.2,74.0,UWGB,33,35.1,18.6,6.5,14.3,0.452,1.4,4.5,0.311,4.3,5.5,0.78,0.8,3.7,4.5,3.9,1.7,0.2,2.2,2.2
Marcus Thornton,2015,73.75,177.4,79.75,W&M,33,36.7,20.0,6.5,14.3,0.456,3.1,7.7,0.402,3.8,4.6,0.83,0.3,2.5,2.8,2.9,0.6,0.1,2.3,1.1
Marcus Thornton,2015,73.75,177.4,79.75,UGA,31,29.2,12.3,4.4,9.1,0.48,0.3,1.0,0.3,3.3,4.8,0.691,1.7,5.6,7.3,1.0,0.7,1.1,1.5,3.0
Myles Turner,2015,81.75,238.6,88.0,TEXAS,34,22.2,10.1,3.4,7.6,0.455,0.5,1.8,0.274,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4
Dez Wells,2015,75.0,208.8,81.5,UMD,28,30.5,15.1,5.3,11.3,0.464,0.9,1.8,0.51,3.7,4.6,0.806,1.3,4.0,5.3,2.8,1.0,0.4,3.3,2.3
Alan Williams,2015,79.25,261.4,85.75,UCSB,26,32.6,17.3,6.2,13.4,0.458,0.0,0.1,0.0,5.0,6.5,0.768,3.3,8.5,11.8,1.7,1.2,1.8,2.0,2.7
Justise Winslow,2015,76.5,221.8,82.25,DUKE,39,29.1,12.6,4.4,9.1,0.486,1.2,2.8,0.418,2.6,4.0,0.641,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8
Christian Wood,2015,81.25,216.0,87.25,UNLV,33,32.7,15.7,5.7,11.4,0.497,0.8,2.7,0.284,3.6,4.9,0.736,2.8,7.1,10.0,1.3,0.3,2.7,2.4,2.6
Delon Wright,2015,76.25,181.4,79.5,U of U,35,33.3,14.5,4.7,9.3,0.509,0.7,2.1,0.356,4.4,5.2,0.836,1.0,4.0,4.9,5.1,2.1,1.0,1.9,1.4
Ron Baker,2016,75.25,212.4,81.75,WICHI,35,31.6,14.0,4.6,10.8,0.424,1.8,5.2,0.35,3.1,3.9,0.793,0.5,4.3,4.8,3.2,1.5,0.6,1.5,1.4
Wade Baldwin IV,2016,74.5,201.8,83.25,VANDY,33,30.4,14.1,4.1,9.6,0.427,1.2,3.1,0.406,4.7,5.9,0.799,0.4,3.6,4.0,5.2,1.2,0.3,2.8,2.6
Cat Barber,2016,73.5,173.0,77.5,NCST,33,38.7,23.5,7.5,17.3,0.434,1.3,3.6,0.361,7.2,8.3,0.865,0.6,3.9,4.6,4.5,0.6,0.1,2.6,2.2
Malik Beasley,2016,75.5,189.8,79.0,FLAST,34,29.8,15.6,5.4,11.6,0.471,1.6,4.2,0.387,3.1,3.8,0.813,1.3,4.0,5.3,1.5,0.9,0.2,1.7,2.2
DeAndre Bembry,2016,76.25,206.6,81.25,STJOE,36,37.3,17.4,6.6,13.8,0.479,0.9,3.6,0.266,3.3,4.9,0.657,1.4,6.3,7.8,4.5,1.4,0.8,2.0,2.4
Ben Bentil,2016,79.25,229.2,85.5,PROV,35,34.2,21.1,7.0,15.2,0.462,1.5,4.5,0.329,5.5,7.1,0.782,2.7,5.0,7.7,1.1,0.9,1.0,1.9,2.8
Jaron Blossomgame,2016,78.25,213.6,82.0,CLEM,31,34.2,18.7,6.5,12.6,0.513,1.5,3.3,0.446,4.3,5.5,0.782,1.8,4.9,6.7,1.5,0.7,1.3,1.8,2.0
Joel Bolomboy,2016,79.5,224.4,85.75,WEBER,33,31.6,17.1,5.8,10.2,0.573,0.6,1.7,0.364,4.8,6.9,0.697,3.3,9.3,12.6,1.1,0.7,1.2,2.4,2.2
Malcolm Brogdon,2016,75.75,223.0,82.5,UVA,37,34.1,18.2,6.2,13.6,0.457,2.0,5.2,0.391,3.8,4.2,0.897,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1
Jaylen Brown,2016,77.25,222.8,83.75,Cal,34,27.6,14.6,4.8,11.1,0.431,0.9,3.0,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2
Marquese Chriss,2016,80.75,233.0,84.25,UWASH,34,24.9,13.8,5.3,9.9,0.53,0.6,1.8,0.35,2.6,3.8,0.685,2.5,2.9,5.4,0.8,0.9,1.6,2.0,4.1
Elgin Cook,2016,77.0,209.8,82.0,OREG,38,31.9,14.8,5.0,10.7,0.472,0.6,1.7,0.333,4.2,5.4,0.773,1.6,3.6,5.1,2.3,1.4,0.3,2.1,2.8
Isaiah Cousins,2016,75.25,194.0,78.25,OKLA,37,33.3,12.6,4.6,11.2,0.406,1.8,4.3,0.411,1.8,2.6,0.67,0.6,3.8,4.5,4.5,1.4,0.3,2.4,1.7
Kris Dunn,2016,75.0,-,81.5,PROV,33,33.0,16.4,5.6,12.5,0.448,1.3,3.4,0.372,4.0,5.8,0.695,1.1,4.2,5.3,6.2,2.5,0.6,3.5,2.8
Henry Ellenson,2016,82.0,242.0,86.25,MARQ,33,33.5,17.0,5.9,13.2,0.446,0.9,3.2,0.288,4.3,5.8,0.749,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5
Perry Ellis,2016,79.0,217.8,82.25,KU,38,30.3,16.9,6.2,11.7,0.531,0.7,1.7,0.438,3.7,4.7,0.785,1.7,4.1,5.8,1.3,0.5,0.5,1.5,1.7
Kay Felder,2016,68.25,177.2,74.5,OAKL,35,36.7,24.4,7.7,17.5,0.44,2.2,6.1,0.355,6.8,8.1,0.848,0.7,3.5,4.3,9.3,2.0,0.2,3.4,3.0
Dorian Finney-Smith,2016,78.5,212.6,83.75,FLA,36,31.8,14.7,4.7,10.8,0.437,2.0,5.4,0.368,3.4,4.6,0.733,2.5,5.9,8.3,2.1,0.9,0.8,1.9,2.2
Daniel Hamilton,2016,78.25,197.0,81.0,UConn,36,32.0,12.5,4.4,11.4,0.387,1.3,3.9,0.331,2.4,2.8,0.86,0.9,8.0,8.9,4.7,1.1,0.4,2.4,1.8
Josh Hart,2016,76.0,203.6,80.5,VILL,40,31.4,15.5,5.8,11.2,0.513,1.4,3.9,0.357,2.6,3.4,0.752,1.9,4.9,6.8,1.9,1.2,0.3,1.7,2.2
Nigel Hayes,2016,78.25,245.0,87.0,UWISC,35,36.2,15.7,4.6,12.5,0.368,1.1,3.8,0.293,5.4,7.4,0.736,2.0,3.9,5.8,3.0,1.1,0.4,2.3,2.0
Buddy Hield,2016,75.75,212.4,81.25,OKLA,37,35.4,25.0,8.1,16.2,0.501,4.0,8.7,0.457,4.8,5.4,0.88,1.2,4.5,5.7,2.0,1.1,0.5,3.1,2.1
Justin Jackson,2016,79.0,193.4,82.75,UNC,40,28.4,12.2,4.9,10.4,0.466,0.9,3.0,0.292,1.6,2.4,0.667,1.8,2.1,3.9,2.8,0.6,0.4,1.1,1.7
Demetrius Jackson,2016,72.0,193.8,77.5,ND,35,35.9,15.8,5.5,12.2,0.451,1.5,4.7,0.331,3.2,4.0,0.813,0.9,2.6,3.5,4.7,1.2,0.3,2.2,1.9
Brice Johnson,2016,81.0,208.6,84.5,UNC,40,28.0,17.0,6.7,10.9,0.614,0.0,0.0,0.0,3.6,4.6,0.783,2.9,7.5,10.4,1.5,1.1,1.5,1.8,2.7
Damian Jones,2016,82.25,243.6,87.75,VANDY,33,26.2,13.9,5.6,9.5,0.59,0.0,0.1,0.0,2.7,5.1,0.536,2.2,4.6,6.9,1.2,0.2,1.6,2.0,3.3
Jake Layman,2016,80.0,208.6,81.25,UMD,36,31.4,11.6,3.9,7.8,0.5,1.6,4.0,0.396,2.2,2.6,0.832,1.0,4.2,5.3,1.1,1.1,1.0,1.7,1.9
Patrick McCaw,2016,77.25,180.8,82.0,UNLV,33,33.7,14.7,5.1,10.9,0.465,2.1,5.6,0.366,2.5,3.2,0.774,1.2,4.0,5.1,3.9,2.5,0.4,2.1,2.2
Malik Newman,2016,74.25,182.2,77.75,MISST,29,27.7,11.3,3.8,9.8,0.391,2.1,5.6,0.379,1.6,2.3,0.687,0.3,2.5,2.8,2.2,0.4,0.1,1.9,1.6
Georges Niang,2016,78.75,230.8,82.0,IWAST,35,33.2,20.5,8.1,14.8,0.546,1.6,4.1,0.392,2.7,3.4,0.807,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2
Marcus Paige,2016,72.5,163.8,78.25,UNC,34,31.6,12.6,4.1,10.4,0.398,2.2,6.1,0.356,2.1,2.7,0.774,0.4,2.1,2.5,3.8,1.1,0.4,1.2,1.5
Gary Payton II,2016,74.0,183.8,80.0,ORST,32,34.3,16.0,6.4,13.2,0.486,0.7,2.2,0.314,2.5,3.8,0.642,2.4,5.4,7.8,5.0,2.5,0.5,2.3,2.7
Jakob Poeltl,2016,84.25,239.0,86.75,U of U,36,30.4,17.2,6.3,9.8,0.646,0.0,0.0,0.0,4.6,6.6,0.692,2.8,6.3,9.1,1.9,0.6,1.6,2.1,2.3
Taurean Prince,2016,78.5,220.2,83.5,BAYL,34,30.6,15.9,5.5,12.7,0.432,1.6,4.3,0.361,3.3,4.3,0.774,2.4,3.7,6.1,2.3,1.3,0.7,2.7,2.5
Malachi Richardson,2016,76.75,199.6,84.0,SYRA,37,34.4,13.4,4.1,11.1,0.369,2.1,6.1,0.353,3.1,4.2,0.72,0.5,3.8,4.3,2.1,1.2,0.3,2.1,2.5
Wayne Selden,2016,76.25,232.4,82.5,KU,38,29.9,13.8,5.0,10.5,0.474,1.9,5.0,0.392,1.9,3.1,0.612,0.8,2.7,3.4,2.6,0.7,0.3,1.9,2.0
Pascal Siakam,2016,80.25,226.6,87.25,NMSU,34,34.6,20.2,8.1,15.0,0.538,0.1,0.4,0.2,4.0,5.9,0.678,3.9,7.7,11.6,1.7,1.0,2.2,2.0,2.7
Diamond Stone,2016,81.0,254.4,86.75,UMD,35,22.6,12.5,4.8,8.4,0.568,0.0,0.0,0.0,2.9,3.8,0.761,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3
Caleb Swanigan,2016,79.5,246.6,87.5,PURD,34,25.7,10.2,3.8,8.3,0.461,0.6,2.1,0.292,2.0,2.8,0.713,1.6,6.7,8.3,1.8,0.4,0.2,2.6,2.2
Melo Trimble,2016,73.25,191.8,74.0,UMD,36,32.8,14.8,4.4,10.8,0.41,1.6,5.1,0.315,4.4,5.1,0.868,0.3,3.3,3.6,4.9,1.2,0.1,2.6,1.9
Tyler Ulis,2016,68.75,149.2,74.0,UK,35,36.8,17.3,5.5,12.6,0.434,1.6,4.6,0.344,4.8,5.6,0.856,0.5,2.5,3.0,7.0,1.5,0.1,2.0,1.8
Jarrod Uthoff,2016,80.5,214.4,83.5,IOWA,33,31.5,18.9,6.6,14.8,0.448,2.0,5.2,0.382,3.7,4.5,0.813,1.5,4.9,6.3,1.1,1.0,2.5,1.2,1.5
Denzel Valentine,2016,76.0,210.4,82.75,MCHST,31,33.0,19.2,6.6,14.3,0.462,3.4,7.5,0.444,2.6,3.1,0.853,0.8,6.7,7.5,7.8,1.0,0.2,2.7,1.7
Isaiah Whitehead,2016,75.25,210.0,80.75,SETON,34,32.3,18.2,5.7,15.1,0.379,2.4,6.5,0.365,4.4,5.8,0.76,0.5,3.1,3.6,5.1,1.2,1.4,3.5,2.3
Troy Williams,2016,77.75,217.8,80.25,IU,35,26.2,13.3,4.7,9.1,0.513,0.7,2.1,0.347,3.2,4.6,0.691,1.4,4.4,5.8,2.0,1.1,0.8,2.7,2.2
Kyle Wiltjer,2016,80.75,242.8,84.25,ZAGS,36,33.6,20.4,7.2,14.7,0.491,2.5,5.7,0.437,3.5,4.1,0.857,1.7,4.6,6.3,1.5,0.4,0.8,2.1,1.8
Stephen Zimmerman,2016,82.25,234.0,87.25,UNLV,26,26.2,10.5,3.9,8.2,0.477,0.2,0.7,0.294,2.4,3.9,0.624,2.2,6.6,8.7,0.8,0.5,2.0,2.1,3.0
Edrice Adebayo,2017,80.75,242.6,86.75,UK,38,30.2,13.0,4.5,7.5,0.599,0.0,0.0,0.0,4.1,6.2,0.653,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6
Rawle Alkins,2017,74.5,222.6,80.75,ARZ,37,28.0,10.9,3.9,8.4,0.463,1.2,3.2,0.37,2.0,2.7,0.733,1.5,3.4,4.9,2.1,0.9,0.5,1.8,2.2
Jarrett Allen,2017,81.0,233.6,89.25,TEXAS,33,32.1,13.4,5.4,9.6,0.566,0.0,0.2,0.0,2.5,4.5,0.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1
Jamel Artis,2017,77.5,213.2,82.0,PITT,32,34.3,18.2,6.1,12.9,0.475,2.3,5.9,0.392,3.6,4.9,0.734,1.3,3.6,4.9,3.3,0.4,0.3,2.6,1.9
Dwayne Bacon,2017,76.75,221.6,82.0,FLAST,35,28.8,17.2,6.3,14.0,0.452,1.6,4.9,0.333,3.0,3.9,0.754,1.0,3.2,4.2,1.7,1.0,0.1,2.0,1.6
V.J. Beachem,2017,78.25,193.4,82.25,ND,36,34.2,14.5,5.2,12.3,0.422,2.4,6.7,0.361,1.7,2.0,0.836,0.6,3.4,4.1,0.9,0.9,1.1,1.1,1.3
